logged_at,game_id,commence_time,season,home_team,away_team,home_line,home_cover_prob,away_cover_prob,pick_side,pick_confidence,is_bet,model_version,actual_home_covered,result_status,correct,notes,home_injury_impact,away_injury_impact,pinnacle_prob,edge_vs_pinnacle,threshold_used,injury_data_available,features_json,is_pinnacle_bet,closing_pinnacle_line,line_movement,bet_clv_pts,matchup_context
2026-04-25T03:01:57.364188,e480da9a1b9dacbed9120388db4f133f,2026-04-25T17:10:00Z,,orl,det,2.5,0.4542254209518432,0.5457745790481567,away,0.5457745790481567,1.0,nba_spread_xgb_v1,1.0,graded,0.0,,0.0,0.0,,,,,,0,,,,
2026-04-25T03:01:57.364518,9f41c322eb6aa09683dc241cacc31d7c,2026-04-25T19:40:00Z,,phx,okc,9.5,0.4635029435157776,0.5364970564842224,away,0.5364970564842224,0.0,nba_spread_xgb_v1,0.0,graded,1.0,,0.0,0.0,,,,,,0,,,,
2026-04-25T03:01:57.364648,184d31a9a32dffc9c91eac3766d6f12d,2026-04-25T22:10:00Z,,atl,ny,2.5,0.4714897572994232,0.5285102128982544,away,0.5285102128982544,0.0,nba_spread_xgb_v1,0.0,graded,1.0,,0.0,0.0,,,,,,0,,,,
2026-04-25T03:01:57.364764,b24e970fd53cf667dd009e54d107d4b1,2026-04-26T00:40:00Z,,min,den,1.5,0.4184980392456054,0.5815019607543945,away,0.5815019607543945,1.0,nba_spread_xgb_v1,1.0,graded,0.0,,0.0,0.0,,,,,,0,,,,
2026-04-25T03:01:57.364872,d94d967f8600a3fb8b869f32c31a7357,2026-04-26T17:10:00Z,,tor,cle,3.5,0.3799420297145843,0.6200579404830933,away,0.6200579404830933,1.0,nba_spread_xgb_v1,1.0,graded,0.0,,0.0,0.0,,,,,,0,,,,
2026-04-25T03:01:57.364976,62dc6619019d4366984883a71b283077,2026-04-26T23:10:00Z,,phi,bos,7.5,0.459980845451355,0.540019154548645,away,0.540019154548645,1.0,nba_spread_xgb_v1,0.0,graded,1.0,,0.0,0.0,,,,,,0,8.5,1.0,1.0,
2026-04-25T19:00:04.721185,0cab123e90bdf5d1d144a7e26ebc339c,2026-04-26T19:40:00Z,,por,sa,5.5,0.4218215346336365,0.5781784653663635,away,0.5781784653663635,1.0,nba_spread_xgb_v1,0.0,graded,1.0,,0.0,0.0,0.50229,-0.08047,,,,1,6.0,0.5,0.5,
2026-04-25T19:00:04.723746,399d2e69e4408801d09e614c88779989,2026-04-27T01:40:00Z,,hou,lal,-5.0,0.5622506141662598,0.4377493858337402,home,0.5622506141662598,1.0,nba_spread_xgb_v1,1.0,graded,1.0,,0.0,0.0,0.50687,0.05538,,,,1,-3.0,2.0,-2.0,
2026-04-26T05:38:03.917494,846b0e9b691b5a291619fa22f96c7dfa,2026-04-28T00:10:00Z,,orl,det,2.5,0.4418452084064483,0.5581547915935516,away,0.5581547915935516,1.0,nba_spread_xgb_v2,1.0,graded,0.0,,0.0,0.0,0.48854,-0.04669,,,,1,2.5,0.0,0.0,
2026-04-26T05:38:03.919255,b3eb8f644d05290981f8805f5410f24a,2026-04-28T01:40:00Z,,phx,okc,10.5,0.4842194318771362,0.5157805681228638,away,0.5157805681228638,0.0,nba_spread_xgb_v2,1.0,graded,0.0,,0.0,0.0,0.5,-0.01578,,,,0,10.5,0.0,0.0,
